invoiceNumber,organizationId,invoiceId,customerId,accountId,exchangeRate,dueDate,PaymentTermsCode,distributionChanel,totalAmount,totalAmountBase,totalTax,totalTaxBase,transactionCurrencyId,invoiceDate,postingDate,correctedInvoiceId,correctionDate,salesChannel 
774,922,923,495,839,58,2017/05/31,0,Painter,95,95,95,7,541,2015/07/19,2017/01/15,0,0,a8532e71-6da0-4396-b5d9-9cf751665194
571,266,688,811,613,22,2017/01/04,3,Sheet Metal Worker,42,42,42,26,403,2016/01/29,2015/10/17,3,1,11c85f4d-3f23-487c-aa7a-c039a40398be
947,706,751,675,506,18,2018/01/18,0,Welder,59,59,59,16,721,2016/01/29,2015/04/16,0,0,15f2a9bc-f2ee-4dbd-8227-b679133d474a
552,326,477,966,899,23,2018/07/08,7,Ironworker,12,12,12,30,277,2015/04/28,2015/04/13,7,1,21ed0f92-e624-4274-bd2b-f07cda386ddf
950,420,884,712,597,36,2017/07/11,9,Linemen,42,42,42,9,708,2017/01/11,2017/10/05,9,1,6be285a0-af3c-4124-b2de-9c3178312c82
249,170,179,259,812,79,2016/06/19,2,Sheet Metal Worker,55,55,55,20,321,2015/01/02,2017/08/11,2,0,7dc697d7-0594-44db-b5e0-d18706b63fe9
456,696,804,109,450,10,2016/11/15,7,Painter,24,24,24,2,24,2016/12/12,2016/03/11,7,0,25e80b0b-1951-463d-8004-f97790d4de42
815,712,434,226,40,37,2017/03/10,0,Refridgeration,57,57,57,43,175,2018/07/25,2015/06/07,0,1,1d24090c-364a-4924-8e98-05cf1abfa561
948,869,923,348,978,78,2018/05/03,9,Glazier,34,34,34,45,685,2018/02/28,2016/12/24,9,1,3edcdfb3-213f-4961-9693-90decbe7a419
513,573,546,859,315,17,2018/03/31,8,Laborer,54,54,54,5,674,2015/12/11,2016/05/26,8,1,a2db857d-8fe4-4e82-ba58-710a8edc0faf
823,343,320,984,721,36,2016/08/25,3,Refridgeration,99,99,99,29,603,2017/03/09,2015/01/20,3,1,d8c13a79-22d3-4416-87fc-ea8e5c8a79a1
21,668,196,773,24,52,2017/11/30,6,Landscaper,19,19,19,24,848,2016/05/04,2017/10/18,6,1,68c3a168-1a91-4f36-9283-93e1d6f01711
791,990,660,990,316,76,2017/10/03,7,Painter,2,2,2,50,716,2015/01/07,2015/02/22,7,1,1aa37031-b4db-4d19-a68d-3b7d1b094ac1
654,525,534,771,19,62,2018/05/26,3,Welder,1,1,1,31,998,2018/06/06,2016/12/21,3,0,219faac4-e126-4cd6-8e21-3c5d124f6527
580,558,612,848,209,47,2016/10/25,0,Pipefitter,9,9,9,34,486,2015/04/20,2017/07/30,0,0,9e623784-e6c2-4446-803a-0c5d49333661
116,440,195,469,281,6,2016/07/12,2,Sheet Metal Worker,18,18,18,39,137,2016/07/19,2017/08/01,2,0,d35b3dab-123f-4211-b06f-16acf3c52e85
988,307,460,794,728,17,2018/01/18,8,Millwright,67,67,67,18,252,2016/02/27,2017/01/31,8,1,82125808-1840-4bdb-9d1b-e408fda781ff
830,732,195,560,713,41,2018/08/02,8,Pipelayer,1,1,1,20,527,2016/02/11,2018/07/23,8,1,87d324e0-1036-40cb-b542-cca5a3b832df
491,543,934,896,638,95,2017/12/03,8,Welder,49,49,49,1,75,2017/03/04,2016/11/29,8,0,247a3f9b-4c4a-444a-acff-ef31ff9caf94
701,486,503,45,551,39,2018/04/02,3,Safety Officer,39,39,39,22,330,2018/04/12,2015/05/23,3,1,c987b06b-4da9-45f6-8df9-01261dd3018a
503,601,817,483,293,74,2018/04/19,2,Pipefitter,18,18,18,10,966,2016/11/26,2015/10/30,2,1,2fe3c8ab-cfb5-403c-bc62-c56cc79a6663
373,397,32,681,355,38,2016/07/06,6,Pipefitter,79,79,79,23,942,2015/02/13,2015/09/14,6,0,030f1e5e-a7a7-44e1-adad-a9c8eef5fe3f
292,198,446,435,372,15,2018/09/04,5,Boilermaker,65,65,65,20,69,2017/11/09,2016/05/04,5,1,d9c7e4ed-6a81-4c45-9941-1ec2c48bf6bf
172,296,791,930,937,9,2016/12/07,8,Ironworker,48,48,48,8,165,2015/03/23,2018/03/31,8,1,01dc7902-2afe-4076-8b53-147f097ed2f3
683,925,725,434,606,89,2017/04/17,2,Plumber,34,34,34,26,194,2015/12/16,2017/04/16,2,0,6860219e-5b7f-476b-92e3-63dba6b6c314
791,197,846,490,445,36,2016/08/23,2,Waterproofer,91,91,91,46,420,2016/05/11,2016/05/19,2,0,eccad7b0-ae6f-43b7-8347-e57a3825ccf4
784,443,362,182,125,9,2017/01/17,2,Pipefitter,76,76,76,6,383,2015/11/11,2017/06/26,2,0,67b3a306-d700-403b-8b9e-f2fce6f3e40e
843,128,223,78,345,65,2016/04/06,9,Millwright,61,61,61,33,90,2016/09/21,2016/08/20,9,0,b4a5ec6e-7819-46cd-ad51-829de0b5ec93
239,248,633,305,205,63,2017/08/23,9,HVAC,45,45,45,13,889,2016/11/02,2015/07/10,9,1,fa2a1971-6e88-4087-97f2-b7c701e6b96d
23,532,703,397,820,33,2017/06/22,7,Painter,16,16,16,41,279,2016/09/05,2016/09/10,7,1,79ad0530-003c-4f3b-829e-2260ecac001c
964,493,691,916,467,25,2017/03/18,9,Sheet Metal Worker,16,16,16,48,843,2017/07/04,2017/10/10,9,1,c5f85142-e6db-4abf-8b5e-fb81fd33c5d1
637,710,699,24,883,50,2018/04/03,8,Plasterers,63,63,63,21,338,2015/04/13,2016/12/21,8,0,806a2a2a-de33-4e46-ad96-1fda1f24395d
514,744,675,536,877,34,2018/04/05,4,Linemen,79,79,79,20,166,2016/09/28,2018/09/06,4,0,f3ec1aba-7dd2-4bc8-b368-56ac055b50b6
754,547,621,222,865,78,2017/04/13,0,Welder,73,73,73,26,986,2017/06/21,2016/07/15,0,0,e203d176-69f5-4204-8a6b-2fcdb8112ff1
82,40,930,517,897,6,2018/12/20,6,Pipelayer,76,76,76,44,202,2015/11/27,2016/06/18,6,0,aac56b6a-0b0a-4e5b-882d-53ef1b90d4a8
