invoiceDetailId,baseAmount,baseAmountBase,description,invoiceId,lineItemNumber,productId,quantity,uoMid,SalesOrderId,SalesOrderDetailId,pricePerUnit,pricePerUnitBase,tax,taxBase
596,94,6,"Torus fx lower end of left ulna, subs for fx w delay heal",179,434399,485,89,My Wife Is a Gangster (Jopog manura),10809,5302,$1909.90,$622.21,$45.80,$2.57
944,1,7,"Sprain of interphalangeal joint of unsp great toe, subs",37,174796,881,73,Alan & Naomi,7553,6321,$3872.02,$669.08,$30.19,$17.98
63,29,50,"Passenger on bus injured in collision w oth mv nontraf, init",102,293545,963,70,Nazarin (Nazarín),7763,1469,$2953.95,$31.49,$42.03,$1.07
146,51,11,Laceration of dorsal vein of unspecified foot,79,183882,440,41,Old Men in New Cars (Gamle mænd i nye biler),6147,4935,$3409.06,$468.06,$37.46,$14.32
856,75,23,Smoking (tobacco) complicating childbirth,412,266884,916,64,Maiden's Cheek (To xylo vgike apo ton Paradeiso),7194,5707,$2373.21,$532.61,$45.69,$16.99
155,79,50,"Burn of second degree of unspecified toe(s) (nail), sequela",237,129322,90,63,Crossworlds,2298,6955,$3594.42,$300.28,$35.80,$10.06
766,31,49,"Lacerat intrns musc/fasc/tend r mid fngr at wrs/hnd lv, init",913,397796,999,41,It's a Very Merry Muppet Christmas Movie,4138,6149,$1026.25,$154.81,$49.26,$16.24
167,97,26,Injury of greater saphenous vein at hip and thigh level,596,494526,429,13,Arch of Triumph,9968,7846,$3290.94,$388.97,$37.02,$5.10
318,5,35,"Leukemia, unspecified not having achieved remission",381,362387,656,43,Poor Little Rich Girl,8888,3531,$4016.50,$69.37,$28.64,$24.08
796,86,21,Phlebitis and thrombophlebitis of iliac vein,426,163409,294,54,Curdled,8787,1797,$4408.26,$209.98,$32.99,$21.20
231,46,16,"Partial traumatic MCP amputation of left thumb, subs",537,398338,62,38,My Fake  Fiance,2660,3329,$1160.12,$703.11,$34.45,$21.09
285,20,28,Neonatal obstruction of right nasolacrimal duct,751,443570,926,44,Memories of Murder (Salinui chueok),9822,5369,$4525.52,$688.99,$36.35,$14.50
527,88,20,Injury of unsp musc/fasc/tend at wrist and hand level,15,122788,820,9,"Gorgon, The",4434,3471,$1138.79,$5.50,$25.37,$6.19
164,53,35,"Chronic myeloid leukemia, BCR/ABL-positive",828,265439,420,46,Free Samples,10526,5231,$1122.51,$429.44,$39.69,$15.40
36,87,22,Inversion of uterus,37,463041,156,77,"Strawberry Statement, The",2030,5506,$2867.01,$672.23,$32.58,$18.24
361,49,41,"Crushing injury of right lesser toe(s), initial encounter",341,486299,279,22,Penn & Teller Get Killed,4121,1269,$3316.32,$350.33,$43.44,$16.31
835,29,22,"Maternal care for hydrops fetalis, second trimester",484,436908,82,98,High Plains Drifter,6266,7365,$1963.04,$222.12,$48.17,$19.25
789,17,33,"Displ spiral fx shaft of humer, r arm, 7thP",330,480449,177,15,Basic,8303,4521,$2039.84,$691.19,$30.72,$2.14
930,77,10,"Spinal instabilities, site unspecified",108,430817,385,81,Oranges,5270,5660,$1472.96,$110.25,$39.03,$5.95
844,21,4,"Person outsd 3-whl mv inj in nonclsn trnsp acc nontraf, subs",311,412269,231,76,Die,3318,5346,$4145.42,$320.35,$31.92,$19.42
109,63,31,"Lacerat musc/tend the rotator cuff of unsp shoulder, init",522,223249,655,24,Together (Han ni Zai Yiki),1991,8250,$3652.06,$850.76,$26.44,$8.76
983,81,21,"Unsp retinal detachment with retinal break, unspecified eye",174,455706,366,68,"Hen, his wife",2128,1000,$1030.71,$205.31,$31.25,$8.45
861,75,18,"Nondisplaced fracture of trapezoid, left wrist",203,182552,282,42,Nine to Five (a.k.a. 9 to 5),8362,5665,$2437.51,$886.55,$25.01,$13.69
