salesOrderDetailId,baseAmount,stateCode,baseAmountBase,description,requestDeliveryBy,salesOrderId,lineItemNumber,productId,quantity,ouMid,pricePerUnit,pricePerUnitBase,tax,taxBase
396,404,,464,Bartter's syndrome,2017/11/23,696,195315,803,63,Marilena de la P7,$562.39,$88.29,31,23
834,237,Lisboa,454,Toxic effects of petroleum products,2018/03/31,314,214924,946,68,"Last Song, The",$702.01,$493.73,29,16
997,26,,240,Corrosion of third degree of back of left hand,2017/11/01,341,479333,35,14,Devil's Doorway,$912.09,$112.29,40,20
233,171,,431,Neoplasm of uncertain behavior of unspecified breast,2016/08/14,171,172555,924,22,Scorpio,$574.12,$2.33,41,10
431,46,,285,"Oth traum nondisp spondylolysis of 5th cervcal vert, 7thB",2015/10/27,195,431915,776,83,Backcountry,$839.89,$491.74,45,14
625,322,,47,Chronic embolism and thrombosis of right femoral vein,2015/04/20,868,460829,912,35,Dead Silence,$634.82,$208.60,47,23
554,45,Coimbra,79,"Unsp focal TBI w LOC w death due to oth cause bf consc, sqla",2018/06/06,929,405982,198,28,"Fly, The",$881.73,$43.53,27,1
103,46,Florida,173,"Displ oblique fx shaft of r tibia, 7thE",2016/05/14,809,496926,412,5,Night Flight,$661.13,$278.61,47,11
138,369,,309,"Anterior dislocation of right radial head, subs encntr",2016/10/25,97,315467,764,4,Rubin and Ed,$663.70,$212.75,27,24
947,234,,84,Rheumatic chorea,2017/11/09,969,382535,455,98,Blade Runner,$947.83,$75.59,32,23
33,231,,106,"Stress fracture, unsp site, subs for fx w nonunion",2017/01/22,953,225532,981,97,"Business of Fancydancing, The",$967.25,$377.81,27,7
97,251,,324,"Strain intrns musc/fasc/tend r lit fngr at wrs/hnd lv, subs",2017/10/28,645,461580,891,77,High Anxiety,$831.06,$356.75,28,20
823,484,,484,"Prph tear of medial mensc, current injury, r knee, sequela",2016/02/14,815,267260,598,80,Dragon Ball Z: Broly Second Coming (Doragon bôru Z 10: Kiken na futari! Sûpâ senshi wa nemurenai),$724.53,$362.02,34,23
512,53,Aveiro,41,"Stenosis of coronary artery stent, sequela",2017/05/23,82,370364,646,43,"Story of Seabiscuit, The",$620.51,$133.60,30,24
785,356,,144,"Unsp fx low end r femr, 7thH",2016/07/10,192,433017,628,4,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud),$728.51,$57.98,40,3
847,492,,213,Dislocation of MTP joint of unsp lesser toe(s),2017/12/13,746,114376,398,56,Mosquito Squadron,$737.69,$314.43,39,2
594,72,Lorraine,30,"Nondisp fx of proximal phalanx of r little finger, sequela",2018/07/05,995,486155,98,15,Ultraviolet,$770.55,$391.66,43,18
380,66,,402,"Anaphylactic reaction due to eggs, initial encounter",2017/08/10,605,147294,158,1,Beck - Öga för öga,$732.13,$229.79,45,20
380,487,,65,Unspecified injury of right eye and orbit,2015/09/17,638,138130,190,15,After the Rehearsal (Efter repetitionen),$835.73,$99.54,49,20
416,290,Västra Götaland,329,"Pre-exist hyp heart and chr kidney dis comp preg, unsp tri",2016/05/10,546,414709,969,65,Goya: Crazy Like a Genius,$952.05,$422.84,31,5
374,259,,322,"Contact with other nonvenomous amphibians, initial encounter",2017/07/16,74,184914,787,29,"Legend II, The (Fong Sai Yuk juk jaap)",$891.98,$483.36,47,10
262,161,,464,"Nondisp commnt fx shaft of rad, unsp arm, 7thD",2018/09/06,920,238049,958,3,À propos de Nice,$834.21,$344.69,49,2
763,57,Leiria,37,"Osteopathy after poliomyelitis, right shoulder",2015/02/14,690,429882,694,17,Beautiful Boxer,$845.20,$416.48,36,7
113,396,,173,"Poisoning by calcium-channel blockers, accidental, subs",2017/03/10,876,274513,158,44,Martin & Orloff,$545.28,$231.65,48,3
58,20,,201,"Nondisp osteochon fx r patella, 7thF",2016/08/27,388,316771,499,68,Fay Grim,$777.87,$145.74,32,12
510,401,Rhône-Alpes,315,"Mech compl of int fix of bones of foot and toes, init",2015/08/31,794,240701,423,86,Hyde Park on Hudson,$788.02,$9.78,46,10
