productId,createdOn,name,defaultUoMid,description,productTypeCode,stateCode
196,2017-12-19,Hatity,Paris 36 (Faubourg 36),"Multiple births, unspecified, some liveborn",43857-0040,
786,2020-08-28,Wrapsafe,She's Having a Baby,"Unsp inj less saphenous at lower leg level, left leg, init",68084-737,4304
363,2019-10-26,Cookley,"Criminal Life of Archibaldo de la Cruz, The (Ensayo de un crimen)",Unsp chronic resp disease origin in the perinatal period,42549-522,
628,2017-02-08,Holdlamis,That Darn Cat!,"Nondisp osteochon fx unsp patella, 7thG",0228-2982,
515,2015-04-01,Span,Queen of Outer Space,"Immersion foot, right foot, subsequent encounter",0591-5708,
271,2016-01-20,Domainer,Open Water 2: Adrift,"Prsn brd/alit pk-up/van injured in clsn w rail trn/veh, init",50580-781,
186,2020-10-12,Home Ing,Chinaman (Kinamand),"Dislocation of L1/L2 lumbar vertebra, subsequent encounter",51138-048,
697,2019-12-26,Cookley,"Norte, El","Nondisp fx of lateral condyle of r tibia, 7thH",76237-252,4880-128
889,2018-10-18,It,Love Me Tonight,"Unsp fracture of unsp forearm, init for opn fx type 3A/B/C",24090-491,
348,2018-01-29,Fintone,Undertow,"Partial physeal arrest, left distal tibia",62011-0183,2727
596,2016-05-10,Latlux,"Science of Sleep, The (La science des rêves)","Chronic perichondritis of external ear, unspecified ear",43742-0393,396907
179,2015-01-24,Bitwolf,Shanghai Dreams (Qing hong),"Coloboma of optic disc, right eye",68180-202,
405,2019-08-18,Voltsillam,Tell Them Who You Are,Wedge compression fracture of T5-T6 vertebra,54868-5183,
826,2015-05-17,Daltfresh,Fugitive Pieces,"Toxic effect of carbon tetrachloride, self-harm, sequela",0143-3126,
584,2017-06-26,Tres-Zap,"Thief of Bagdad, The","Radiation sickness, unspecified, initial encounter",49349-831,75480-000
522,2017-03-26,Tresom,Die,"Disseminated malignant neoplasm, unspecified",47682-199,81720
847,2020-04-05,Treeflex,The Time Being,"Nondisplaced Rolando's fracture, right hand, sequela",11673-371,92640
822,2016-05-26,Toughjoyfax,3 Idiots,Sickle-cell/Hb-C disease with splenic sequestration,53441-251,1049
971,2020-01-27,Tin,The Hire: Chosen,"Displaced avulsion fx right ilium, subs for fx w delay heal",54868-3724,65140
704,2018-03-21,Domainer,Zombies of the Stratosphere,"Assault by steam or hot vapors, initial encounter",11822-5250,
322,2016-04-25,Zontrax,Justin and the Knights of Valour,"Adverse effect of other synthetic narcotics, init encntr",63354-250,9314
926,2017-06-19,Domainer,Pinocchio,"Other superficial bite of penis, initial encounter",42291-237,3115
313,2019-05-11,Flowdesk,Blue,"Unsp injury at unsp level of thoracic spinal cord, sequela",61919-416,
759,2017-08-02,Regrant,Dreamgirls,"Unsp fracture of shaft of unsp tibia, init for clos fx",24385-519,
382,2018-12-15,Solarbreeze,Anna: 6-18 (Anna: Ot shesti do vosemnadtsati),"Exposure to infrared radiation, subsequent encounter",59779-253,
929,2015-01-02,Bitchip,Star Trek V: The Final Frontier,"Tuberculosis of eye, unspecified",30142-437,
578,2019-07-14,Lotstring,Strike Up the Band,"Inj unsp musc/fasc/tend at thigh level, unsp thigh",68788-9923,2706
252,2018-10-02,Opela,"City of Violence, The (Jjakpae)","Injury of median nerve at upper arm level, left arm, subs",21695-003,172389
48,2017-07-01,Tres-Zap,A Christmas Kiss,"Sltr-haris Type I physl fx lower end humer, left arm, init",63323-474,
303,2015-02-02,Daltfresh,"Black Cauldron, The","Unsp open wound of abd wall, periumb rgn w penet perit cav",68788-9887,87390-000
322,2018-03-05,Temp,Fun,"Assault by steam or hot vapors, initial encounter",37000-265,38944 CEDEX
116,2015-10-30,Job,Sorceress,"Fistula, right ankle",53329-901,
235,2018-12-17,Matsoft,Transformers: Revenge of the Fallen,Toxic effect of arsenic and its compounds,68151-4338,
894,2018-01-08,Zaam-Dox,Radioland Murders,"Injury of unspecified uterine vein, sequela",0406-1923,3313
574,2019-03-17,Daltfresh,The Count of Monte Cristo,"Maternal care for known or susp placntl insuff, first tri",11523-7226,6165
202,2016-06-11,Stringtough,Emma,"Disp fx of low epiphy (separation) of l femr, 7thC",55111-252,
329,2016-07-10,Viva,Krush Groove,"Other specified injury of thoracic aorta, initial encounter",68094-107,
258,2017-01-21,Alpha,Warren Oates: Across the Border,"Stress fracture, unspecified toe(s), sequela",49817-0063,
516,2019-04-10,Fix San,Attack Force,Paraplegia,58118-0372,
243,2017-08-09,Duobam,Chernobyl Diaries,"Nondisp fx of acromial pro, r shldr, 7thG",36987-2977,
998,2015-04-12,Greenlam,"Driller Killer, The",Meconium staining,49035-431,
948,2019-03-19,Hatity,When Eight Bells Toll,"Unspecified subluxation of left patella, initial encounter",52533-161,
657,2015-12-31,Zoolab,Fear Strikes Out,"Oth comp specific to multiple gest, third trimester, fetus 4",0078-0248,
955,2017-10-25,Tresom,Position Among The Stars (Stand van de Sterren),"Superficial frostbite of wrist, hand, and fingers",57955-5639,391448
665,2019-08-29,Overhold,Wild Women,"Traumatic arthropathy, hand",0008-4990,
442,2020-01-31,Temp,Flight of the Living Dead,"Nondisp fx of less trochanter of r femr, 7thK",55154-5677,
51,2016-05-21,Quo Lux,Supercross,"Drug/chem diab with mild nonp rtnop with mclr edema, l eye",64024-685,
841,2017-03-11,Biodex,Rails & Ties,"Poisoning by unsp general anesthetics, undetermined, subs",43353-142,46547
731,2016-09-23,Transcof,"Principal, The","Nondisp seg fx shaft of rad, r arm, 7thD",0536-2425,
826,2016-06-05,Namfix,New Wave (Nouvelle vague),"Unsp nondisp fx of sixth cervical vertebra, init for clos fx",61957-1901,
802,2016-02-17,Bytecard,High Risk,Burn of third degree of single r finger (nail) except thumb,33261-091,
676,2019-02-22,Cardguard,June 9 ,"Pnctr of abd wall w/o fb, l upr q w/o penet perit cav, subs",63998-575,
828,2018-09-13,Regrant,RocknRolla,"Puncture wound w/o foreign body of unsp part of head, init",13734-111,
995,2016-09-22,Opela,Thor: Tales of Asgard,Acquired absence of leg above knee,41250-458,06010
869,2020-02-05,Stim,A Story of Children and Film,Other benign neuroendocrine tumors,68001-215,44190
343,2016-11-14,Quo Lux,I Am Number Four,"Sltr-haris Type I physeal fx upper end of unsp tibia, init",57664-246,
933,2015-04-04,Y-Solowarm,Robot,"Alcohol abuse with alcohol-induced psychotic disorder, unsp",63054-0123,3212
606,2018-08-08,Y-find,Some Girl,"Disp fx of prox phalanx of r great toe, 7thP",68428-055,
256,2020-04-13,Tresom,Molokai (Molokai: The Story of Father Damien),"Synovial cyst of popliteal space [Baker], right knee",59779-316,
285,2020-02-01,Asoka,Kiki's Delivery Service (Majo no takkyûbin),"Other specified bursopathies, unspecified hand",21130-083,
771,2017-04-15,Konklux,Little Nemo: Adventures in Slumberland,Diabetes due to underlying condition w diabetic dermatitis,51079-306,
74,2015-08-17,Ventosanzap,Prison Terminal: The Last Days of Private Jack Hall,"Skeletal fluorosis, ankle and foot",10819-5812,09-101
234,2020-08-17,Lotstring,"Late Show, The","Nondisp fx of med cuneiform of r ft, subs for fx w nonunion",64679-991,783 16
758,2017-09-11,Cookley,Russia 88,"Poisoning by oth opioids, accidental (unintentional), subs",64942-1131,89436
134,2020-03-19,Duobam,Farmer & Chase,"Disord of amnio fluid and membrns, unsp, first tri, fetus 5",68828-067,663330
822,2016-12-10,Tempsoft,Paris,Acquired absence of leg above knee,42346-500,
782,2016-06-08,Veribet,"Super Cops, The","Other osteonecrosis, multiple sites",42937-701,
431,2019-01-10,Sub-Ex,Kurt Cobain: Montage of Heck,"Fall into natrl body of water strk surfc cause oth inj, init",70253-159,
163,2017-12-09,Span,Don 2,Dissem mycobacterium avium-intracellulare complex (DMAC),63459-546,
495,2015-03-07,Sub-Ex,"Notorious Landlady, The","Airgun discharge, undetermined intent",55315-298,
231,2018-11-27,Sub-Ex,First Position,"Extremely low birth weight newborn, unspecified weight",0187-2200,431674
399,2015-01-16,Konklux,Brother's Keeper,"Unsp inj musc/tend peroneal grp at low leg lev, r leg, sqla",0615-7707,
632,2015-11-18,Viva,Shamus,"Juvenile osteochondrosis of tarsus, unspecified ankle",98132-665,
233,2020-09-06,Overhold,Dracula: Dead and Loving It,Alcohol depend w alcoh-induce psychotic disorder w hallucin,55289-465,
912,2020-02-04,Namfix,Written on the Wind,Essential fatty acid [EFA] deficiency,76081-020,
599,2016-10-23,Span,Exit to Eden,"Vitamin deficiency, unspecified",68462-382,
217,2016-07-06,Bitwolf,Fog Over Frisco,"Unspecified injury of bronchus, bilateral, sequela",0781-2067,
513,2016-04-12,Cardify,Forbidden,Pericarditis in diseases classified elsewhere,61734-301,
630,2019-08-31,Prodder,Layer Cake,"Displaced segmental fx shaft of unsp fibula, sequela",60505-0115,
657,2019-10-18,Holdlamis,"Girl, The (Flickan)","Acute tonsillitis, unspecified",60533-001,
492,2015-09-08,Tampflex,"Importance of Tying Your Own Shoes, The (Hur många lingon finns det i världen?)","External constriction of right forearm, initial encounter",16714-331,6150-405
325,2020-09-19,Alpha,"Werewolf Boy, A (Neuk-dae-so-nyeon)","Toxic effect of unsp organic solvent, undetermined, init",60429-152,
369,2017-08-31,Pannier,"Immortals, The","Unsp fracture of navicular bone of unsp wrist, sequela",55728-002,
296,2018-01-29,Hatity,"Battle of Shaker Heights, The","Food in esophagus causing compression of trachea, sequela",63560-001,
